"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Leng","SEGAREA"
"617","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PMEA","0","KN","0",-1,"0","0",0.008319255,1
"618","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.022992389,1
"619","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.01765701,1
"620","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.015641611,1
"621","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.031891064,1
"624","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.040490123,1
"626","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.038460369,1
"627","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","POSP","0","KN","0",-1,"0","0",0.042626869,1
"628","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.033638668,1
"629","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.032393363,1
"630","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.035243297,1
"631","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.046994574,1
"635","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.041554061,1
"636","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.030790258,1
"637","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.041084425,1
"638","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PDAM","0","BR","0",-1,"0","0",0.049461601,1
"641","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.016385665,1
"642","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.036535053,1
"654","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.042097268,1
"655","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.037053475,1
"656","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.031895455,1
"658","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.049075045,1
"659","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.041330376,1
"660","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","UNKN","0","EM","0",-1,"0","0",0.024960968,1
"661","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.017395402,1
"662","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.01818351,1
"663","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","UNKN","0","EM","0",-1,"0","0",0.011788553,1
"664","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","UNKN","0","EM","0",-1,"0","0",0.010707007,1
"665","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.036752687,1
"667","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.022927059,1
"668","MA",2019,"SE1902","KAU-02115","B","5",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.007668768,1
"670","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","EM","0",-1,"0","0",0.024927494,1
"671","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.015071164,1
"672","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.018873262,1
"673","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","PSTE","0","BR","0",-1,"0","0",0.031780497,1
"674","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.031100161,1
"675","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.035755978,1
"676","MA",2019,"SE1902","KAU-02133","B","5",1,1,"0","POSP","0","EM","0",-1,"0","0",0.02934621,1
"693","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.029220541,1
"694","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.019922349,1
"695","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.013583079,1
"696","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.024607722,1
"698","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.02321745,1
"702","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.047183897,1
"703","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.049396355,1
"727","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.039529735,1
"728","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.028157593,1
"731","MA",2019,"SE1902","KAU-02160","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018047162,1
"753","MA",2019,"SE1902","LAN-01811","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.013155226,1
"754","MA",2019,"SE1902","LAN-01811","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.010881177,1
"755","MA",2019,"SE1902","LAN-01811","B","0",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.012728315,1
"756","MA",2019,"SE1902","LAN-01811","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.040967427,1
"757","MA",2019,"SE1902","LAN-01811","B","5",1,1,"0","PMEA","0","KN","0",-1,"0","0",0.019475626,1
"758","MA",2019,"SE1902","LAN-01811","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.017984716,1
"759","MA",2019,"SE1902","LAN-01811","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.011154371,1
"761","MA",2019,"SE1902","LAN-01813","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.031688642,1
"762","MA",2019,"SE1902","LAN-01813","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.027600726,1
"763","MA",2019,"SE1902","LAN-01813","B","5",1,1,"0","MPAT","0","EM","0",-1,"0","0",0.023930107,1
