"","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE"
"5054","SE1902_MHI_LEG2",2019-07-15,12997,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04219","Forereef","Mid",20.19658,-155.7139,10.05790917,10.97226,"ROB"
"5055","SE1902_MHI_LEG2",2019-07-15,12998,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_HAMAKUA","HAW-04234","Forereef","Shallow",20.20178,-155.7246,4.266991771,5.790917,"ROB"
"5056","SE1902_MHI_LEG3",2019-07-26,13178,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02584","Forereef","Mid",21.88445,-160.237,8.838768668,10.36269,"ROB"
"5058","SE1902_MHI_LEG3",2019-07-26,13180,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_WEST","NII-02580","Forereef","Mid",21.95172,-160.1372,10.97226455,12.19141,"AGR"
"5059","SE1902_MHI_LEG3",2019-07-27,13205,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02166","Forereef","Shallow",22.11205,-159.7389,3.047851265,3.962207,"ROB"
"5064","SE1902_MHI_LEG3",2019-07-27,13204,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02160","Forereef","Mid",22.14699,-159.7503,14.9344712,15.84883,"AGR"
"5070","SE1902_MHI_LEG3",2019-07-27,13203,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_NAPALI","KAU-02164","Forereef","Mid",22.16346,-159.7231,14.32490094,14.93447,"PAV"
"5078","SE1902_MHI_LEG2",2019-07-20,13074,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01809","Forereef","Deep",20.78013,-156.9922,18.59189272,19.20146,"ROB"
"5079","SE1902_MHI_LEG2",2019-07-20,13076,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01817","Forereef","Mid",20.84665,-157.0069,7.314843036,9.753124,"ROB"
"5080","SE1902_MHI_LEG2",2019-07-20,13073,"2019",2019,"MHI","Main Hawaiian Islands","Lanai","LAN","LAN_SOUTH","LAN-01815","Forereef","Shallow",20.8531,-157.0134,2.743066138,3.352636,"ROB"
"5106","SE1902_MHI_LEG3",2019-07-28,13218,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02118","Forereef","Deep",22.00211,-159.3225,21.03017373,21.63974,"PAV"
"5107","SE1902_MHI_LEG3",2019-07-28,13219,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02113","Forereef","Shallow",21.95643,-159.338,3.657421518,4.266992,"APR"
"5189","SE1902_MHI_LEG3",2019-08-03,13316,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03112","Forereef","Deep",21.69581,-158.0381,23.16366961,23.46845,"PAV"
"5190","SE1902_MHI_LEG3",2019-08-03,13317,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03234","Forereef","Mid",21.6841,-158.0423,7.924413289,8.533984,"PAV"
"5196","SE1902_MHI_LEG3",2019-08-03,13313,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03233","Forereef","Mid",21.6561,-158.0636,7.619628162,8.229198,"PAV"
"5204","SE1902_MHI_LEG3",2019-08-03,13318,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NORTH","OAH-03243","Forereef","Shallow",21.62903,-158.0773,4.266991771,4.876562,"PAV"
"5206","SE1902_MHI_LEG3",2019-08-04,13339,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03078","Forereef","Deep",21.50332,-157.7963,21.94452911,22.85888,"AGR"
"5227","SE1902_MHI_LEG3",2019-08-04,13340,"2019",2019,"MHI","Main Hawaiian Islands","Oahu","OAH","OAH_NE","OAH-03084","Forereef","Mid",21.5388,-157.8232,12.80097531,13.71533,"PAV"
"5230","SE1902_MHI_LEG3",2019-07-24,13116,"2019",2019,"MHI","Main Hawaiian Islands","Kauai","KAU","KAU_EAST","KAU-02115","Forereef","Mid",21.92762,-159.6524,9.448338921,9.753124,"PAV"
"5248","SE1902_MHI_LEG3",2019-07-25,13144,"2019",2019,"MHI","Main Hawaiian Islands","Niihau","NII","NII_EAST","NII-02504","Forereef","Deep",21.93035,-160.069,22.55409936,23.46845,"ROB"
