"","SITEVISITID","OBS_YEAR","REGION_NAME","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","SITE_MIN_DEPTH","SITE_MAX_DEPTH"
"186",12052,2018,"American Samoa","Tau","TAU-01000","Forereef","Deep",-14.219627,-169.517695,"71","72"
"187",11700,2018,"Pacific Remote Island Areas","Baker","BAK-00725","Forereef","Deep",0.20183,-176.46466,"72","72"
"188",11812,2018,"American Samoa","Tutuila","TUT-02897","Forereef","Deep",-14.237139,-170.6732,"71","73"
"189",11982,2018,"American Samoa","Ofu & Olosega","OFU-01049","Forereef","Deep",-14.176085,-169.648038,"71","73"
"190",12213,2018,"Pacific Remote Island Areas","Jarvis","JAR-01916","Forereef","Deep",-0.362684,-160.004485,"73","73"
"191",11877,2018,"American Samoa","Tutuila","TUT-02942","Forereef","Deep",-14.28232,-170.733922,"72","74"
"192",12483,2018,"Pacific Remote Island Areas","Kingman","KIN-00899","Protected Slope","Deep",6.421698,-162.429344,"72","74"
"193",12412,2018,"Pacific Remote Island Areas","Palmyra","PAL-01185","Forereef","Deep",5.869049,-162.089214,"60","75"
"194",11642,2018,"Pacific Remote Island Areas","Howland","HOW-00860","Forereef","Deep",0.81195,-176.61156,"70","75"
"195",11952,2018,"American Samoa","Tutuila","TUT-02850","Forereef","Deep",-14.364336,-170.752103,"73","75"
"196",12137,2018,"American Samoa","Tau","TAU-01009","Forereef","Deep",-14.211552,-169.442288,"72","76"
"197",11972,2018,"American Samoa","Ofu & Olosega","OFU-00987","Forereef","Deep",-14.186709,-169.663998,"74","76"
"198",12336,2018,"Pacific Remote Island Areas","Palmyra","PAL-01075","Forereef","Deep",5.87569,-162.145931,"75","76"
"199",12436,2018,"Pacific Remote Island Areas","Kingman","KIN-00832","Forereef","Deep",6.433351,-162.378213,"73","78"
"200",12300,2018,"Pacific Remote Island Areas","Jarvis","JAR-01900","Forereef","Deep",-0.379623,-160.015828,"75","79"
"201",11774,2018,"American Samoa","Swains","SWA-00802","Forereef","Shallow",-11.05859,-171.09083,"7","8"
"202",11939,2018,"American Samoa","Tutuila","TUT-05003","Forereef","Deep",-14.283662,-170.563072,"71","80"
"203",11892,2018,"American Samoa","Tutuila","TUT-03043","Forereef","Deep",-14.250793,-170.642224,"76","80"
"204",12488,2018,"Pacific Remote Island Areas","Kingman","KIN-00871","Protected Slope","Deep",6.417319,-162.399122,"77","80"
"205",12160,2018,"American Samoa","Tutuila","TUT-03006","Forereef","Deep",-14.360337,-170.786386,"80","82"
